Need State,Category,Sub Category,Segment,Sub Segment,Manufacturer New,Actual_Month,$,Units
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-11-2016,890598,170520
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-12-2016,4933059,993499
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-01-2017,3648186,687198
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-02-2017,3629591,659758
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-03-2017,4751350,890494
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-04-2017,3835368,745367
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-05-2017,3907419,767568
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-06-2017,5025557,1001294
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-07-2017,3824425,751467
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-08-2017,4048026,792566
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-09-2017,4882506,1023237
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-10-2017,3672627,714698
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-11-2017,3458520,885324
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-12-2017,3999310,776958
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-01-2018,3004984,547486
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-02-2018,2952440,546686
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-03-2018,3939526,750776
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-04-2018,3071524,590342
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-05-2018,3230872,620727
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-06-2018,4178359,798333
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-07-2018,3318473,643034
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-08-2018,3423189,668200
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-09-2018,4076805,809109
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-10-2018,3247343,643456
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-11-2018,2953169,574514
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-12-2018,3695538,750492
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-01-2019,2775083,514384
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-02-2019,2754806,501725
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-03-2019,3666150,643584
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-04-2019,2980852,530310
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-05-2019,3078176,553052
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-06-2019,4026871,737635
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-07-2019,3209698,584350
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-08-2019,3284758,599072
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-09-2019,3889729,702118
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-10-2019,3010054,522228
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-11-2016,616986,92066
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-12-2016,3448959,510057
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-01-2017,2600557,386216
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-02-2017,2717902,407532
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-03-2017,3604713,542028
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-04-2017,2599370,394256
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-05-2017,2387566,371121
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-06-2017,2863970,448542
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-07-2017,2229665,358734
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-08-2017,2162642,357320
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-09-2017,2596534,425014
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-10-2017,2175701,343862
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-11-2017,2411242,373354
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-12-2017,3230406,488631
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-01-2018,2751348,410350
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-02-2018,2743054,424372
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-03-2018,3724417,575805
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-04-2018,2578694,405789
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-05-2018,2256814,371705
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-06-2018,2777226,473650
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-07-2018,2374323,410925
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-08-2018,2213006,391421
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-09-2018,2499515,443262
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-10-2018,2094844,357557
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-11-2018,2228926,372014
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-12-2018,2766458,454285
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-01-2019,2170136,351643
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-02-2019,2242896,362695
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-03-2019,3147418,519736
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-04-2019,2377837,388153
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-05-2019,2308931,418768
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-06-2019,2823923,445626
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-07-2019,2175811,348853
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-08-2019,2137993,344677
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-09-2019,2551688,415737
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,All Other,01-10-2019,2157918,347382
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-11-2016,223830,26322
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-12-2016,1264590,153236
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-01-2017,1000791,124334
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-02-2017,1159865,145184
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-03-2017,1453802,179215
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-04-2017,1077635,134202
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-05-2017,1010194,123554
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-06-2017,1059642,132192
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-07-2017,751737,96002
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-08-2017,692608,86530
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-09-2017,889031,107979
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-10-2017,889911,113770
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-11-2017,879006,107709
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-12-2017,1255904,153270
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-01-2018,1224722,154785
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-02-2018,1096376,139746
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-03-2018,1483959,186148
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-04-2018,1102480,141943
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-05-2018,947764,118086
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-06-2018,1157923,153307
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-07-2018,803156,102053
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-08-2018,718987,91417
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-09-2018,841280,103802
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-10-2018,786558,96793
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-11-2018,948460,113651
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-12-2018,1257888,157214
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-01-2019,1080926,136542
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-02-2019,1225388,155582
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-03-2019,1538601,190227
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-04-2019,987682,119306
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-05-2019,849904,103390
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-06-2019,1013628,124227
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-07-2019,772205,94114
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-08-2019,708666,86255
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-09-2019,893152,108749
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,BD,01-10-2019,840004,103646
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-11-2016,2,1
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-12-2016,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-01-2017,3,2
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-02-2017,4,2
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-03-2017,2,2
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-04-2017,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-05-2017,22,6
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-06-2017,3,2
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-07-2017,18,4
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-08-2017,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-09-2017,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-10-2017,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-11-2017,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-12-2017,6,3
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-01-2018,6,2
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-02-2018,3,3
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-03-2018,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-04-2018,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-05-2018,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-06-2018,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-07-2018,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-10-2018,25,6
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-12-2018,3,1
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-01-2019,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-02-2019,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-03-2019,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-04-2019,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-05-2019,25,7
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CK,01-10-2019,0,0
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-11-2016,242315,85191
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-12-2016,1384766,470205
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-01-2017,946158,335764
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-02-2017,974220,360924
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-03-2017,1263049,468678
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-04-2017,908138,335935
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-05-2017,894112,331539
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-06-2017,1090536,403608
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-07-2017,855057,321218
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-08-2017,875683,327681
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-09-2017,1092242,412700
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-10-2017,858671,329271
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-11-2017,862745,323746
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-12-2017,1129510,414959
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-01-2018,906956,327215
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-02-2018,916490,345739
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-03-2018,1248642,487235
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-04-2018,900280,348989
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-05-2018,855238,332894
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-06-2018,1105678,457279
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-07-2018,880304,384200
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-08-2018,859054,393542
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-09-2018,1014310,450499
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-10-2018,826358,365849
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-11-2018,837848,355682
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-12-2018,1015012,427953
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-01-2019,777918,327703
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-02-2019,840702,355664
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-03-2019,1141464,473242
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-04-2019,825313,351766
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-05-2019,762212,329682
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-06-2019,919950,392109
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-07-2019,706562,303028
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-08-2019,694382,338038
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-09-2019,811354,384206
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,CL,01-10-2019,665366,313442
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-11-2016,106011,11907
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-12-2016,609749,68754
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-01-2017,490216,56513
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-02-2017,457803,52550
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-03-2017,712887,85582
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-04-2017,1027974,141069
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-05-2017,1582756,224303
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-06-2017,1658240,231913
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-07-2017,1281370,180996
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-08-2017,1610231,227486
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-09-2017,1968310,277966
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-10-2017,1613208,228858
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-11-2017,1506706,210022
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-12-2017,1979292,280037
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-01-2018,1716646,244521
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-02-2018,1684114,241471
BABY CARE,BABY & KIDS TOILETRIES,BABY TOILETRIES,BABY BODY CARE,BABY MILK/LOTIONS,HL,01-03-2018,2315323,331498
